time_s,user_cpu_percent,system_cpu_percent,wait_cpu_percent,process_cpu_percent,process_cpu_18_core_capacity_percent,minor_faults_per_s,major_faults_per_s,vsz_mib,rss_mib
0.0,70.0,21.0,0.0,91.0,5.055555555555555,0.0,0.0,8613.75,195.6875
1.0,75.0,18.0,0.0,93.0,5.166666666666667,0.0,0.0,8613.75,195.6875
2.0,73.0,13.0,0.0,86.0,4.777777777777778,0.0,0.0,8613.75,195.6875
3.0,72.0,19.0,0.0,91.0,5.055555555555555,91.0,0.0,8610.5625,187.875
4.0,75.0,20.0,0.0,95.0,5.277777777777778,53.0,0.0,8613.1875,187.875
5.0,76.0,14.0,0.0,90.0,5.0,149.0,0.0,8613.1875,190.1875
6.0,75.0,14.0,0.0,89.0,4.944444444444445,0.0,0.0,8613.1875,190.1875
7.0,78.0,15.0,0.0,93.0,5.166666666666667,0.0,0.0,8613.1875,190.1875
8.0,79.0,14.0,0.0,93.0,5.166666666666667,0.0,0.0,8613.1875,190.1875
9.0,72.0,17.0,0.0,89.0,4.944444444444445,0.0,0.0,8613.1875,190.1875
10.0,76.0,14.0,0.0,90.0,5.0,0.0,0.0,8613.1875,190.1875
11.0,77.0,17.0,0.0,94.0,5.222222222222222,0.0,0.0,8613.1875,190.1875
12.0,75.0,14.0,0.0,89.0,4.944444444444445,0.0,0.0,8613.1875,190.1875
13.0,71.0,18.0,1.0,89.0,4.944444444444445,0.0,0.0,8613.1875,190.1875
14.0,80.0,12.0,0.0,92.0,5.111111111111111,0.0,0.0,8613.1875,190.1875
15.0,77.0,15.0,0.0,92.0,5.111111111111111,0.0,0.0,8613.1875,190.1875
16.0,71.0,18.0,0.0,89.0,4.944444444444445,0.0,0.0,8613.1875,190.1875
17.0,74.0,14.0,0.0,88.0,4.888888888888889,0.0,0.0,8613.1875,190.1875
18.0,83.0,11.0,0.0,94.0,5.222222222222222,0.0,0.0,8613.1875,190.1875
19.0,75.0,15.0,0.0,90.0,5.0,0.0,0.0,8613.1875,190.1875
20.0,76.0,12.0,0.0,88.0,4.888888888888889,0.0,0.0,8613.1875,190.1875
21.0,76.0,17.0,0.0,93.0,5.166666666666667,0.0,0.0,8613.1875,190.1875
22.0,78.0,14.0,0.0,92.0,5.111111111111111,0.0,0.0,8613.1875,190.1875
23.0,69.0,18.0,0.0,87.0,4.833333333333333,0.0,0.0,8613.1875,190.1875
24.0,79.0,12.0,0.0,91.0,5.055555555555555,0.0,0.0,8613.1875,190.1875
25.0,80.0,15.0,0.0,95.0,5.277777777777778,0.0,0.0,8613.1875,190.1875
