elapsed_ms,read_gib_s,write_gib_s,total_gib_s,time_s
53.353,93.470703125,2.7109375,96.181640625,0.0
104.649,51.796875,18.087890625,69.884765625,0.051296
155.643,57.1884765625,15.4267578125,72.615234375,0.10228999999999999
206.915,84.9326171875,2.7353515625,87.66796875,0.15356199999999998
259.325,78.73046875,8.7509765625,87.4814453125,0.205972
309.588,67.3779296875,21.8623046875,89.240234375,0.256235
360.898,85.2763671875,1.6435546875,86.919921875,0.307545
411.0,74.6328125,1.615234375,76.248046875,0.357647
460.565,53.3330078125,18.708984375,72.0419921875,0.40721199999999996
510.822,55.0205078125,11.1328125,66.1533203125,0.457469
563.456,91.1591796875,1.693359375,92.8525390625,0.510103
613.465,66.884765625,9.451171875,76.3359375,0.560112
663.162,66.7978515625,19.02734375,85.8251953125,0.609809
713.138,77.6171875,1.314453125,78.931640625,0.6597850000000001
766.325,75.291015625,1.48828125,76.779296875,0.712972
816.451,66.6015625,22.0478515625,88.6494140625,0.763098
866.259,64.9541015625,8.0654296875,73.01953125,0.812906
916.495,86.76171875,1.634765625,88.396484375,0.8631420000000001
968.031,64.2265625,12.2578125,76.484375,0.914678
1018.18,61.7744140625,17.00390625,78.7783203125,0.964827
1068.122,79.2080078125,1.337890625,80.5458984375,1.014769
1119.049,79.208984375,4.6123046875,83.8212890625,1.065696
1168.843,64.99609375,21.1533203125,86.1494140625,1.11549
1218.924,72.0390625,6.421875,78.4609375,1.165571
1268.736,87.490234375,1.326171875,88.81640625,1.215383
1319.689,56.4404296875,15.189453125,71.6298828125,1.266336
1370.809,60.5478515625,17.484375,78.0322265625,1.317456
1421.508,84.294921875,2.724609375,87.01953125,1.368155
1472.525,73.416015625,4.52734375,77.943359375,1.419172
1523.749,66.923828125,23.0859375,90.009765625,1.470396
1574.522,75.4248046875,6.6455078125,82.0703125,1.5211689999999998
1624.694,86.1591796875,2.154296875,88.3134765625,1.5713409999999999
1674.52,54.40234375,14.267578125,68.669921875,1.621167
1724.728,59.5625,16.58984375,76.15234375,1.671375
1774.776,82.0458984375,1.162109375,83.2080078125,1.721423
1824.378,72.5986328125,3.0966796875,75.6953125,1.7710249999999998
1874.382,65.544921875,22.6376953125,88.1826171875,1.821029
1924.454,74.814453125,5.1943359375,80.0087890625,1.871101
1974.972,83.5771484375,1.2783203125,84.85546875,1.921619
2025.701,52.0029296875,14.416015625,66.4189453125,1.972348
2075.585,61.962890625,15.1884765625,77.1513671875,2.022232
2126.192,76.92578125,2.029296875,78.955078125,2.072839
2176.713,76.4775390625,6.796875,83.2744140625,2.12336
2226.954,66.232421875,20.734375,86.966796875,2.173601
2276.889,76.1533203125,4.5263671875,80.6796875,2.223536
2328.883,91.2470703125,1.45703125,92.7041015625,2.27553
2379.707,47.0732421875,15.80078125,62.8740234375,2.326354
2429.584,59.8271484375,13.197265625,73.0244140625,2.3762309999999998
2479.577,76.380859375,1.5576171875,77.9384765625,2.4262240000000004
2529.081,80.095703125,6.138671875,86.234375,2.475728
2579.507,66.5986328125,22.447265625,89.0458984375,2.526154
2630.817,79.3486328125,4.9189453125,84.267578125,2.577464
2683.793,85.919921875,2.5029296875,88.4228515625,2.63044
2735.621,52.841796875,18.390625,71.232421875,2.682268
2786.305,55.115234375,14.369140625,69.484375,2.7329519999999996
2837.542,86.3515625,2.75390625,89.10546875,2.784189
2888.087,72.6416015625,8.265625,80.9072265625,2.834734
2937.758,62.326171875,21.47265625,83.798828125,2.8844049999999997
2987.975,85.884765625,2.5224609375,88.4072265625,2.934622
3038.535,76.7939453125,1.4404296875,78.234375,2.985182
3089.877,55.0751953125,18.8681640625,73.943359375,3.036524
3139.71,54.453125,11.498046875,65.951171875,3.086357
3190.737,90.2021484375,1.4013671875,91.603515625,3.137384
3241.551,74.482421875,9.6025390625,84.0849609375,3.188198
3291.7,66.568359375,20.65625,87.224609375,3.2383469999999996
3341.155,80.291015625,1.240234375,81.53125,3.287802
